"DUI Arrests by Month"
"Current date: 4/13/2021 4:31:25 PM (Mountain Daylight Time)"
"Multiple Arrest Indicator: All Countable Arrests"
"Arrest Offense for A and B Arrests: Driving Under the Influence"
"Arrest Date","Arrest Month","Jurisdiction by Geography","Number of Arrestees",
"Total","January","Total","14,259"
"Total","January","Adams County","2,212"
"Total","January","Alamosa County","27"
"Total","January","Arapahoe County","451"
"Total","January","Archuleta County","20"
"Total","January","Baca County","6"
"Total","January","Bent County","5"
"Total","January","Boulder County","534"
"Total","January","Chaffee County","49"
"Total","January","Cheyenne County","2"
"Total","January","Clear Creek County","44"
"Total","January","Conejos County",""
"Total","January","Costilla County","4"
"Total","January","Crowley County","2"
"Total","January","Custer County","13"
"Total","January","Delta County","33"
"Total","January","Denver County","1,090"
"Total","January","Dolores County","6"
"Total","January","Douglas County","397"
"Total","January","Eagle County","200"
"Total","January","Elbert County","31"
"Total","January","El Paso County","1,401"
"Total","January","Fremont County","95"
"Total","January","Garfield County","185"
"Total","January","Gilpin County","59"
"Total","January","Grand County","48"
"Total","January","Gunnison County","94"
"Total","January","Hinsdale County",""
"Total","January","Huerfano County","3"
"Total","January","Jackson County","7"
"Total","January","Jefferson County","1,016"
"Total","January","Kiowa County","4"
"Total","January","Kit Carson County","27"
"Total","January","Lake County","22"
"Total","January","La Plata County","182"
"Total","January","Larimer County","906"
"Total","January","Las Animas County","18"
"Total","January","Lincoln County","9"
"Total","January","Logan County","37"
"Total","January","Mesa County","280"
"Total","January","Mineral County",""
"Total","January","Moffat County","28"
"Total","January","Montezuma County","64"
"Total","January","Montrose County","72"
"Total","January","Morgan County","41"
"Total","January","Otero County","33"
"Total","January","Ouray County","3"
"Total","January","Park County","23"
"Total","January","Phillips County","13"
"Total","January","Pitkin County","74"
"Total","January","Prowers County","33"
"Total","January","Pueblo County","185"
"Total","January","Rio Blanco County","17"
"Total","January","Rio Grande County","27"
"Total","January","Routt County","92"
"Total","January","Saguache County","5"
"Total","January","San Juan County","4"
"Total","January","San Miguel County","23"
"Total","January","Sedgwick County",""
"Total","January","Summit County","184"
"Total","January","Teller County","88"
"Total","January","Washington County","1"
"Total","January","Weld County","619"
"Total","January","Yuma County","10"
"Total","January","Broomfield County","122"
"Total","January","Colorado Bureau of Investigation",""
"Total","January","Colorado State Patrol","2,979"
"Total","February","Total","13,283"
"Total","February","Adams County","2,025"
"Total","February","Alamosa County","12"
"Total","February","Arapahoe County","422"
"Total","February","Archuleta County","21"
"Total","February","Baca County","8"
"Total","February","Bent County","2"
"Total","February","Boulder County","462"
"Total","February","Chaffee County","50"
"Total","February","Cheyenne County","6"
"Total","February","Clear Creek County","37"
"Total","February","Conejos County",""
"Total","February","Costilla County","8"
"Total","February","Crowley County","12"
"Total","February","Custer County","6"
"Total","February","Delta County","39"
"Total","February","Denver County","1,025"
"Total","February","Dolores County","3"
"Total","February","Douglas County","369"
"Total","February","Eagle County","168"
"Total","February","Elbert County","37"
"Total","February","El Paso County","1,435"
"Total","February","Fremont County","70"
"Total","February","Garfield County","231"
"Total","February","Gilpin County","46"
"Total","February","Grand County","45"
"Total","February","Gunnison County","71"
"Total","February","Hinsdale County",""
"Total","February","Huerfano County","7"
"Total","February","Jackson County","2"
"Total","February","Jefferson County","867"
"Total","February","Kiowa County","18"
"Total","February","Kit Carson County","23"
"Total","February","Lake County","23"
"Total","February","La Plata County","192"
"Total","February","Larimer County","802"
"Total","February","Las Animas County","16"
"Total","February","Lincoln County","9"
"Total","February","Logan County","51"
"Total","February","Mesa County","318"
"Total","February","Mineral County",""
"Total","February","Moffat County","29"
"Total","February","Montezuma County","78"
"Total","February","Montrose County","80"
"Total","February","Morgan County","20"
"Total","February","Otero County","25"
"Total","February","Ouray County","1"
"Total","February","Park County","23"
"Total","February","Phillips County","7"
"Total","February","Pitkin County","57"
"Total","February","Prowers County","39"
"Total","February","Pueblo County","164"
"Total","February","Rio Blanco County","17"
"Total","February","Rio Grande County","16"
"Total","February","Routt County","73"
"Total","February","Saguache County","4"
"Total","February","San Juan County",""
"Total","February","San Miguel County","25"
"Total","February","Sedgwick County",""
"Total","February","Summit County","171"
"Total","February","Teller County","88"
"Total","February","Washington County","3"
"Total","February","Weld County","621"
"Total","February","Yuma County","5"
"Total","February","Broomfield County","110"
"Total","February","Colorado Bureau of Investigation",""
"Total","February","Colorado State Patrol","2,689"
"Total","March","Total","14,304"
"Total","March","Adams County","2,262"
"Total","March","Alamosa County","24"
"Total","March","Arapahoe County","540"
"Total","March","Archuleta County","26"
"Total","March","Baca County","7"
"Total","March","Bent County","6"
"Total","March","Boulder County","579"
"Total","March","Chaffee County","49"
"Total","March","Cheyenne County","3"
"Total","March","Clear Creek County","41"
"Total","March","Conejos County",""
"Total","March","Costilla County","2"
"Total","March","Crowley County","12"
"Total","March","Custer County","12"
"Total","March","Delta County","44"
"Total","March","Denver County","1,031"
"Total","March","Dolores County","3"
"Total","March","Douglas County","402"
"Total","March","Eagle County","177"
"Total","March","Elbert County","31"
"Total","March","El Paso County","1,488"
"Total","March","Fremont County","84"
"Total","March","Garfield County","191"
"Total","March","Gilpin County","85"
"Total","March","Grand County","56"
"Total","March","Gunnison County","67"
"Total","March","Hinsdale County",""
"Total","March","Huerfano County","1"
"Total","March","Jackson County","3"
"Total","March","Jefferson County","926"
"Total","March","Kiowa County","13"
"Total","March","Kit Carson County","17"
"Total","March","Lake County","39"
"Total","March","La Plata County","152"
"Total","March","Larimer County","883"
"Total","March","Las Animas County","10"
"Total","March","Lincoln County","13"
"Total","March","Logan County","59"
"Total","March","Mesa County","354"
"Total","March","Mineral County",""
"Total","March","Moffat County","36"
"Total","March","Montezuma County","81"
"Total","March","Montrose County","75"
"Total","March","Morgan County","43"
"Total","March","Otero County","25"
"Total","March","Ouray County","4"
"Total","March","Park County","33"
"Total","March","Phillips County","7"
"Total","March","Pitkin County","60"
"Total","March","Prowers County","40"
"Total","March","Pueblo County","132"
"Total","March","Rio Blanco County","23"
"Total","March","Rio Grande County","29"
"Total","March","Routt County","74"
"Total","March","Saguache County","5"
