Time,County,Sales,Type
2014-01,Adams,683098.0,Medical
2014-01,Adams,,Recreational
2014-01,Alamosa,,Medical
2014-01,Arapahoe,1188232.0,Medical
2014-01,Archuleta,,Medical
2014-01,Boulder,3417873.0,Medical
2014-01,Chaffee,83714.0,Medical
2014-01,Clear Creek,143736.0,Medical
2014-01,Clear Creek,459640.0,Recreational
2014-01,Costilla,,Medical
2014-01,Denver,15351083.0,Medical
2014-01,Denver,8482593.0,Recreational
2014-01,Eagle,203060.0,Medical
2014-01,El Paso,4923633.0,Medical
2014-01,Fremont,134388.0,Medical
2014-01,Garfield,396086.0,Medical
2014-01,Garfield,,Recreational
2014-01,Gilpin,28798.0,Medical
2014-01,Gilpin,197379.0,Recreational
2014-01,Grand,,Medical
2014-01,Gunnison,36244.0,Medical
2014-01,Gunnison,,Recreational
2014-01,Jefferson,1979386.0,Medical
2014-01,Jefferson,853675.0,Recreational
2014-01,La Plata,523193.0,Medical
2014-01,Lake,,Recreational
2014-01,Larimer,964948.0,Medical
2014-01,Mesa,,Medical
2014-01,Moffat,,Medical
2014-01,Montezuma,100634.0,Medical
2014-01,Montrose,,Medical
2014-01,Ouray,,Medical
2014-01,Ouray,,Recreational
2014-01,Park,,Medical
2014-01,Park,,Recreational
2014-01,Pitkin,194865.0,Medical
2014-01,Pueblo,419894.0,Medical
2014-01,Pueblo,,Recreational
2014-01,Routt,239509.0,Medical
2014-01,Routt,,Recreational
2014-01,San Miguel,164384.0,Medical
2014-01,San Miguel,338934.0,Recreational
2014-01,Sedgwick,,Medical
2014-01,Summit,271441.0,Medical
2014-01,Summit,1274208.0,Recreational
2014-01,Teller,,Medical
2014-01,Weld,657150.0,Medical
2014-01,Weld,,Recreational
2014-02,Adams,454940.0,Medical
2014-02,Adams,,Recreational
2014-02,Alamosa,,Medical
2014-02,Arapahoe,1210155.0,Medical
2014-02,Archuleta,,Medical
2014-02,Boulder,3345413.0,Medical
2014-02,Boulder,,Recreational
2014-02,Chaffee,,Medical
2014-02,Clear Creek,111164.0,Medical
2014-02,Clear Creek,445976.0,Recreational
2014-02,Costilla,,Medical
2014-02,Denver,14680476.0,Medical
2014-02,Denver,8349069.0,Recreational
2014-02,Eagle,185360.0,Medical
2014-02,El Paso,5116438.0,Medical
2014-02,Fremont,215839.0,Medical
2014-02,Garfield,373432.0,Medical
2014-02,Garfield,,Recreational
2014-02,Gilpin,32325.0,Medical
2014-02,Gilpin,113337.0,Recreational
2014-02,Grand,,Medical
2014-02,Gunnison,,Medical
2014-02,Gunnison,,Recreational
2014-02,Jefferson,2044484.0,Medical
2014-02,Jefferson,880367.0,Recreational
2014-02,La Plata,521985.0,Medical
2014-02,Lake,,Recreational
2014-02,Larimer,1009841.0,Medical
2014-02,Mesa,,Medical
2014-02,Moffat,,Medical
2014-02,Montezuma,103266.0,Medical
2014-02,Montrose,,Medical
2014-02,Ouray,,Medical
2014-02,Ouray,,Recreational
2014-02,Park,,Medical
2014-02,Park,,Recreational
2014-02,Pitkin,161237.0,Medical
2014-02,Pueblo,418489.0,Medical
2014-02,Pueblo,823156.0,Recreational
2014-02,Routt,209165.0,Medical
2014-02,Routt,,Recreational
2014-02,San Miguel,94099.0,Medical
2014-02,San Miguel,230470.0,Recreational
2014-02,Sedgwick,,Medical
2014-02,Summit,244818.0,Medical
2014-02,Summit,1063383.0,Recreational
2014-02,Teller,,Medical
2014-02,Weld,671024.0,Medical
2014-02,Weld,,Recreational
2014-03,Adams,477275.0,Medical
2014-03,Adams,,Recreational
2014-03,Alamosa,,Medical
2014-03,Arapahoe,1490219.0,Medical
2014-03,Archuleta,,Medical
2014-03,Boulder,3505875.0,Medical
2014-03,Boulder,1396479.0,Recreational
2014-03,Chaffee,,Medical
2014-03,Clear Creek,106955.0,Medical
2014-03,Clear Creek,524541.0,Recreational
2014-03,Costilla,,Medical
2014-03,Denver,16102218.0,Medical
2014-03,Denver,10746117.0,Recreational
2014-03,Eagle,201147.0,Medical
2014-03,El Paso,5929766.0,Medical
2014-03,Fremont,222270.0,Medical
2014-03,Garfield,401766.0,Medical
2014-03,Garfield,,Recreational
2014-03,Gilpin,33416.0,Medical
2014-03,Gilpin,131685.0,Recreational
2014-03,Grand,,Medical
2014-03,Gunnison,,Medical
2014-03,Gunnison,,Recreational
2014-03,Jefferson,2014285.0,Medical
2014-03,Jefferson,1056723.0,Recreational
2014-03,La Plata,587114.0,Medical
2014-03,Lake,,Recreational
2014-03,Larimer,1234344.0,Medical
2014-03,Mesa,,Medical
2014-03,Moffat,,Medical
2014-03,Montezuma,,Medical
2014-03,Montrose,,Medical
2014-03,Ouray,,Medical
2014-03,Ouray,,Recreational
2014-03,Park,,Medical
2014-03,Park,,Recreational
2014-03,Pitkin,157541.0,Medical
2014-03,Pitkin,,Recreational
2014-03,Pueblo,375711.0,Medical
2014-03,Pueblo,1196018.0,Recreational
2014-03,Routt,214650.0,Medical
2014-03,Routt,,Recreational
2014-03,Saguache,,Medical
2014-03,San Miguel,75215.0,Medical
2014-03,San Miguel,319620.0,Recreational
2014-03,Sedgwick,,Medical
2014-03,Summit,253937.0,Medical
2014-03,Summit,1427935.0,Recreational
2014-03,Teller,,Medical
2014-03,Weld,580961.0,Medical
2014-03,Weld,,Recreational
2014-04,Adams,452636.0,Medical
2014-04,Adams,,Recreational
2014-04,Alamosa,,Medical
2014-04,Arapahoe,1517828.0,Medical
2014-04,Archuleta,,Medical
2014-04,Boulder,3136133.0,Medical
2014-04,Boulder,1835900.0,Recreational
2014-04,Chaffee,,Medical
2014-04,Clear Creek,92791.0,Medical
2014-04,Clear Creek,369117.0,Recreational
2014-04,Costilla,,Medical
2014-04,Denver,15064678.0,Medical
2014-04,Denver,12005332.0,Recreational
2014-04,Eagle,178397.0,Medical
2014-04,El Paso,5535184.0,Medical
2014-04,Fremont,225243.0,Medical
2014-04,Garfield,371447.0,Medical
2014-04,Garfield,,Recreational
2014-04,Gilpin,43162.0,Medical
2014-04,Gilpin,114408.0,Recreational
2014-04,Grand,,Medical
2014-04,Gunnison,,Medical
2014-04,Gunnison,,Recreational
2014-04,Jefferson,2039086.0,Medical
2014-04,Jefferson,1368618.0,Recreational
2014-04,La Plata,613521.0,Medical
2014-04,Lake,,Recreational
2014-04,Larimer,1162178.0,Medical
2014-04,Larimer,,Recreational
2014-04,Mesa,,Medical
2014-04,Moffat,,Medical
2014-04,Montezuma,108703.0,Medical
2014-04,Montrose,,Medical
2014-04,Ouray,,Medical
2014-04,Ouray,,Recreational
2014-04,Park,,Medical
2014-04,Park,,Recreational
2014-04,Pitkin,123525.0,Medical
2014-04,Pitkin,227021.0,Recreational
2014-04,Pueblo,401959.0,Medical
2014-04,Pueblo,1132339.0,Recreational
2014-04,Routt,186308.0,Medical
2014-04,Routt,,Recreational
2014-04,San Miguel,64107.0,Medical
2014-04,San Miguel,188733.0,Recreational
2014-04,Sedgwick,,Medical
2014-04,Summit,243097.0,Medical
2014-04,Summit,757131.0,Recreational
2014-04,Teller,,Medical
2014-04,Weld,519545.0,Medical
2014-04,Weld,521853.0,Recreational
2014-05,Adams,467977.0,Medical
2014-05,Adams,,Recreational
2014-05,Alamosa,,Medical
2014-05,Arapahoe,1511922.0,Medical
